"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.06.2022","85.662,48","86.545,90","86.624,76","85.412,04","","-1,02%"
"21.06.2022","86.545,90","87.060,90","87.503,88","86.392,26","","-0,59%"
"16.06.2022","87.060,90","88.465,55","88.465,55","86.564,63","","-1,59%"
"15.06.2022","88.465,55","87.400,00","88.789,13","87.400,00","","1,22%"
"14.06.2022","87.400,00","87.937,89","88.976,39","86.632,60","","-0,61%"
"13.06.2022","87.937,89","89.143,04","89.143,04","86.617,30","","-1,35%"
"10.06.2022","89.141,39","88.869,78","89.171,71","87.329,87","","0,31%"
"09.06.2022","88.869,78","89.982,30","89.982,30","88.282,21","","-1,20%"
"08.06.2022","89.946,88","90.938,11","91.218,84","89.843,60","","-1,09%"
"07.06.2022","90.938,11","90.385,84","91.063,79","90.141,45","","0,65%"
"06.06.2022","90.351,73","91.775,17","92.579,51","90.035,26","","-1,55%"
"03.06.2022","91.775,17","91.678,62","92.025,59","91.343,54","","0,35%"
"02.06.2022","91.452,04","91.369,58","92.141,32","90.732,23","","0,09%"
"01.06.2022","91.369,58","92.288,03","92.489,39","90.607,70","","-1,00%"
"31.05.2022","92.288,03","93.236,24","93.552,08","91.792,33","","-1,02%"
"30.05.2022","93.236,24","93.683,29","94.207,30","93.120,33","","-0,48%"
"27.05.2022","93.683,29","93.710,99","94.319,11","93.518,95","","-0,03%"
"26.05.2022","93.710,99","91.271,67","93.776,47","91.271,67","","2,67%"
"24.05.2022","91.271,67","90.344,05","91.447,90","89.835,74","","1,03%"
"23.05.2022","90.344,05","88.118,96","90.525,42","87.698,05","","2,53%"
"20.05.2022","88.118,96","88.634,32","89.799,93","87.330,94","","-0,58%"
"19.05.2022","88.634,32","90.803,43","90.803,43","88.634,32","","-2,39%"
"17.05.2022","90.803,43","89.964,80","91.857,03","89.964,80","","0,93%"
"16.05.2022","89.964,80","88.795,76","90.385,92","88.500,97","","1,32%"
"13.05.2022","88.795,76","85.532,83","88.974,53","85.532,83","","3,83%"
"12.05.2022","85.520,83","85.762,84","86.786,67","84.285,57","","-0,28%"
"11.05.2022","85.762,84","83.676,75","85.884,39","83.676,75","","2,49%"
"10.05.2022","83.676,75","82.243,55","83.839,19","81.962,83","","1,74%"
"09.05.2022","82.243,55","86.544,82","86.544,82","82.166,92","","-4,93%"
"06.05.2022","86.507,22","86.434,10","87.178,82","85.155,52","","0,08%"
"05.05.2022","86.434,10","89.909,37","89.909,37","86.229,26","","-3,32%"
"04.05.2022","89.401,35","89.634,64","89.638,18","88.415,69","","-0,21%"
"03.05.2022","89.585,33","87.608,13","89.751,28","87.515,70","","2,26%"
"02.05.2022","87.608,13","88.250,97","88.250,97","86.661,63","","-0,73%"
"29.04.2022","88.250,97","90.354,23","91.371,15","88.176,23","","-2,33%"
"28.04.2022","90.354,23","90.033,25","91.019,08","89.337,51","","0,36%"
"27.04.2022","90.033,25","89.574,68","90.913,66","89.363,49","","0,51%"
"26.04.2022","89.574,68","91.154,73","91.154,73","89.213,99","","-1,73%"
"25.04.2022","91.154,43","91.792,35","91.792,35","88.790,18","","-0,61%"
"22.04.2022","91.717,07","91.656,75","92.688,46","91.414,05","","0,24%"
"21.04.2022","91.496,13","92.559,34","93.140,99","91.263,00","","-1,15%"
"20.04.2022","92.559,34","92.038,35","92.741,65","91.120,42","","0,57%"
"19.04.2022","92.038,35","91.239,22","92.151,51","90.939,16","","0,88%"
"18.04.2022","91.239,22","91.041,37","92.777,82","90.977,07","","0,22%"
"13.04.2022","91.041,37","90.345,86","91.115,97","89.982,76","","0,77%"
"12.04.2022","90.345,86","90.629,89","91.426,12","89.924,45","","-0,31%"
"11.04.2022","90.629,89","92.091,47","92.245,72","90.487,64","","-1,59%"
"08.04.2022","92.091,47","91.558,17","92.488,57","91.558,17","","0,58%"
"07.04.2022","91.558,17","90.973,03","91.686,69","89.848,35","","0,64%"
"06.04.2022","90.973,03","91.814,30","91.814,30","89.921,83","","-0,92%"
"05.04.2022","91.814,30","93.218,66","94.374,34","91.811,62","","-1,51%"
"04.04.2022","93.218,66","92.390,98","93.480,43","92.390,98","","0,90%"
"01.04.2022","92.390,98","90.979,02","92.571,02","90.979,02","","1,57%"
"31.03.2022","90.959,59","90.867,58","92.039,01","90.702,49","","0,10%"
"30.03.2022","90.867,58","89.967,25","91.215,27","89.966,28","","1,00%"
"29.03.2022","89.967,25","91.662,96","92.046,08","89.874,97","","-1,85%"
"28.03.2022","91.662,96","93.010,43","93.058,55","91.643,90","","-1,45%"
"25.03.2022","93.010,43","90.106,60","93.313,21","90.106,60","","3,22%"
"23.03.2022","90.106,60","90.170,10","91.891,00","89.773,04","","-0,07%"
"22.03.2022","90.170,10","90.041,05","91.362,50","89.979,33","","0,14%"
"21.03.2022","90.041,05","89.057,57","90.989,16","89.032,58","","1,10%"
"18.03.2022","89.057,57","89.645,88","90.693,78","88.790,42","","-0,66%"
"17.03.2022","89.645,88","87.450,87","89.789,98","87.450,87","","2,51%"
"16.03.2022","87.450,87","84.054,72","87.661,26","84.054,72","","4,04%"
"15.03.2022","84.054,72","84.955,90","84.955,90","83.570,00","","-1,06%"
"14.03.2022","84.955,90","88.999,06","89.003,20","84.747,71","","-4,54%"
"11.03.2022","88.999,06","90.283,10","91.465,74","88.620,32","","-1,42%"
"10.03.2022","90.283,10","87.226,46","90.393,34","87.138,68","","3,50%"
"09.03.2022","87.226,46","88.061,14","89.354,10","87.003,09","","-0,95%"
"08.03.2022","88.061,14","87.948,21","88.061,14","88.061,14","","0,13%"
"07.03.2022","87.948,21","89.515,44","90.713,33","87.788,81","","-1,75%"
"04.03.2022","89.515,44","91.558,04","91.988,91","88.451,40","","-2,23%"
"03.03.2022","91.558,04","90.248,93","91.759,16","88.415,66","","1,45%"
"02.03.2022","90.248,93","87.969,87","90.469,79","87.969,87","","2,59%"
"25.02.2022","87.969,87","88.721,46","89.836,88","87.785,50","","-0,85%"
"24.02.2022","88.721,46","91.359,52","91.359,52","87.311,53","","-2,89%"
"23.02.2022","91.359,52","90.440,55","91.764,30","89.401,16","","1,02%"
"22.02.2022","90.440,55","90.029,49","91.166,39","89.789,18","","0,46%"
"21.02.2022","90.029,49","89.443,19","90.391,92","89.333,31","","0,66%"
"18.02.2022","89.443,19","89.977,89","90.724,45","88.325,33","","-0,59%"
"17.02.2022","89.977,89","90.577,55","91.286,02","89.977,89","","-0,66%"
"16.02.2022","90.577,55","88.042,62","90.775,96","87.991,58","","2,88%"
"15.02.2022","88.042,62","87.803,68","88.824,86","87.594,29","","0,27%"
"14.02.2022","87.803,68","88.184,99","88.773,70","87.321,49","","-0,43%"
"11.02.2022","88.184,99","87.559,37","89.904,46","87.468,08","","0,71%"
"10.02.2022","87.559,37","87.393,09","88.462,99","86.994,38","","0,19%"
"09.02.2022","87.393,09","88.149,17","89.097,93","87.309,28","","-0,86%"
"08.02.2022","88.149,17","89.189,09","89.877,09","88.091,95","","-1,17%"
"07.02.2022","89.189,09","87.934,02","89.438,90","87.934,02","","1,43%"
"04.02.2022","87.934,02","88.091,28","88.637,16","87.225,92","","-0,18%"
"03.02.2022","88.091,28","89.662,66","89.813,01","87.745,89","","-1,75%"
"02.02.2022","89.662,66","91.416,55","92.732,37","89.490,72","","-1,92%"
"01.02.2022","91.416,55","90.907,51","91.802,78","88.669,05","","0,56%"
"31.01.2022","90.907,51","88.269,83","91.012,35","87.937,39","","2,99%"
"28.01.2022","88.269,83","85.968,76","90.227,14","85.968,76","","2,68%"
"27.01.2022","85.968,76","85.782,14","86.585,99","85.319,31","","0,22%"
"26.01.2022","85.782,14","85.180,43","86.614,28","85.180,43","","0,71%"
"25.01.2022","85.180,43","81.004,41","85.320,66","80.789,86","","5,16%"
"24.01.2022","81.004,41","83.622,48","83.622,48","80.403,36","","-3,13%"
"21.01.2022","83.622,48","85.126,37","85.172,93","83.382,39","","-1,77%"
"20.01.2022","85.126,37","83.528,23","85.674,00","83.528,23","","1,91%"
"19.01.2022","83.528,23","83.350,61","84.040,93","83.157,55","","0,21%"
"18.01.2022","83.350,61","85.038,79","85.339,29","83.249,20","","-1,99%"
"17.01.2022","85.038,79","85.481,07","85.481,07","84.758,48","","-0,52%"
"14.01.2022","85.481,07","85.370,86","85.555,31","84.628,54","","0,13%"
"13.01.2022","85.370,86","85.100,27","86.743,75","85.088,60","","0,32%"
"12.01.2022","85.100,27","84.702,31","85.466,30","84.499,84","","0,47%"
"11.01.2022","84.702,31","83.746,30","84.840,25","83.599,71","","1,14%"
"10.01.2022","83.746,30","84.402,07","84.421,18","83.351,86","","-0,78%"
"07.01.2022","84.402,07","83.761,35","84.502,28","83.408,53","","0,78%"
"06.01.2022","83.747,84","83.835,72","84.408,07","82.671,92","","-0,10%"
"05.01.2022","83.835,72","85.285,98","85.841,20","83.811,54","","-1,70%"
"04.01.2022","85.285,98","85.579,11","86.355,52","85.002,47","","-0,34%"
"03.01.2022","85.579,11","83.500,11","85.724,37","83.500,11","","2,49%"
"30.12.2021","83.500,11","84.006,50","85.604,97","83.420,71","","-0,60%"
"29.12.2021","84.006,50","82.787,32","84.395,93","82.224,39","","1,48%"
"28.12.2021","82.783,68","84.581,25","85.467,57","82.380,25","","-2,11%"
"27.12.2021","84.570,45","84.850,31","85.754,83","84.230,31","","-0,33%"
"23.12.2021","84.850,31","83.651,80","85.572,16","83.651,80","","1,43%"
"22.12.2021","83.651,80","84.137,68","85.172,12","83.568,44","","-0,58%"
"21.12.2021","84.137,68","81.908,15","84.429,66","81.908,15","","2,72%"
"20.12.2021","81.908,15","83.234,04","83.235,11","81.240,85","","-1,59%"
"17.12.2021","83.234,04","82.995,22","83.779,04","82.491,37","","0,29%"
"16.12.2021","82.995,22","80.939,44","83.453,10","80.939,44","","2,54%"
"15.12.2021","80.939,44","82.178,84","82.697,51","80.533,13","","-1,51%"
"14.12.2021","82.178,84","81.947,65","83.008,98","81.254,61","","0,28%"
"13.12.2021","81.947,65","85.441,38","85.599,70","81.840,53","","-4,09%"
"10.12.2021","85.441,38","86.544,92","87.585,28","85.240,97","","-1,28%"
"09.12.2021","86.544,92","89.242,77","89.758,30","86.189,54","","-3,02%"
"07.12.2021","89.242,77","88.287,43","89.836,50","88.287,43","","1,08%"
"06.12.2021","88.287,43","86.359,78","88.542,21","86.169,96","","2,23%"
"03.12.2021","86.359,78","87.451,27","88.898,65","84.646,29","","-1,25%"
"02.12.2021","87.451,27","85.164,78","87.750,77","85.164,78","","2,68%"
"01.12.2021","85.164,78","79.315,79","85.418,45","79.315,79","","7,37%"
"30.11.2021","79.315,79","79.094,93","79.572,06","77.706,80","","0,28%"
"29.11.2021","79.094,93","80.369,01","82.337,45","78.612,13","","-1,59%"
"26.11.2021","80.369,01","84.956,92","84.956,92","79.416,52","","-5,40%"
"25.11.2021","84.956,92","83.481,20","84.997,05","83.160,34","","1,77%"
"24.11.2021","83.481,20","83.770,51","85.111,36","83.210,26","","-0,35%"
"23.11.2021","83.770,51","85.695,15","85.695,15","82.836,99","","-2,25%"
"19.11.2021","85.695,15","89.512,44","90.102,57","85.437,06","","-4,26%"
"18.11.2021","89.512,44","87.541,77","89.923,91","85.650,37","","2,25%"
"17.11.2021","87.541,77","89.674,14","90.277,83","86.380,25","","-2,38%"
"16.11.2021","89.674,14","92.999,37","93.569,89","89.270,56","","-3,58%"
"15.11.2021","92.999,37","94.963,42","96.599,21","91.222,10","","-2,07%"
"12.11.2021","94.963,42","95.943,83","96.789,07","92.490,95","","-1,02%"
"11.11.2021","95.943,83","95.130,59","96.945,46","95.025,82","","0,85%"
"10.11.2021","95.130,59","94.381,35","96.158,45","93.753,71","","0,79%"
"09.11.2021","94.381,35","96.045,61","97.024,42","94.025,16","","-1,73%"
"08.11.2021","96.044,88","92.895,89","96.138,23","92.895,89","","3,39%"
"05.11.2021","92.895,89","91.258,15","93.013,63","91.200,79","","1,79%"
"04.11.2021","91.258,15","92.095,02","92.095,02","89.743,49","","-0,91%"
